RYM Album, First Name,Last Name,First Name localized, Last Name localized,Title,Release_Date,Rating,Ownership,Purchase Date,Media Type,Review
"11008255","","ATEEZ","","","Treasure Epilogue: Action to Answer","2020","3","n","","",  ""
"12933145","","BAE173","","","Intersection : Trace","2021","2","n","","",  ""
"12513361","","Berry Good","","","Undying Love","2021","4","n","","",  ""
"4698603","","BESTie","","","Pitapat","2013","6","n","","",  ""
"5371982","","BESTie","","","Thank U Very Much","2014","4","n","","",  ""
"10663887","","Black String","","","Karma","2019","9","n","","",  ""
"8958095","","BTS","","","Face Yourself","2018","3","n","","",  ""
"11012584","","BTS","","","Map of the Soul: 7","2020","2","n","","",  ""
"11623790","","BTS","","","Map of the Soul: 7 ~ The Journey","2020","5","n","","",  ""
"6026437","","BTS","","","Wake Up","2014","6","n","","",  ""
"7518445","","BTS","","","Youth","2016","6","n","","",  ""
"10766945","","Bvndit","","","Be!","2019","5","n","","",  ""
"12966141","","CHAI","","","Let's Love!","2021","6","n","","",  ""
"11126567","","Cherry Bullet","","","무릎을 탁 치고 (Hands Up)","2020","8","n","","",  ""
"9957357","Kriesha","Chu","","","1st Single Album","2017","6","n","","",  ""
"12299700","","CIFIKA","","","청춘","2020","8","n","","",  ""
"11929131","","CIFIKA","","","HANA","2020","8","n","","",  ""
"9059063","","CIFIKA","","","PRISM","2018","8","n","","",  ""
"12140355","","CSVC","","","무자비(無慈悲)","2020","8","n","","",  ""
"11359526","","Deepflow","","","Founder","2020","7","n","","",  ""
"11015474","","DreamNote","","","Dream Wish","2020","4","n","","",  ""
"11031761","","ENOi","","","Red in the Apple","2020","5","n","","",  ""
"8995832","","E SENS","","","Sleep Tight","2015","9","n","","",  ""
"11053409","","Everglow","","","Reminiscence","2020","4","n","","",  ""
"8166163","","EXID","","","Eclipse","2017","6","n","","",  ""
"8665992","","EXID","","","Full Moon","2017","7","n","","",  ""
"10531115","","FANATICS","","","The Six","2019","5","n","","",  ""
"10784014","","Favorite","","","Catch Me","2019","5","n","","",  ""
"4649145","","f(x)","","","Pink Tape","2013","7","n","","",  ""
"11308473","","(G)I-DLE","","","I Trust","2020","5","n","","",  ""
"10467851","","(G)I-DLE","","","Latata","2019","5","n","","",  ""
"9517032","","Girls' Generation-Oh!GG","","","몰랐니 (Lil' Touch) / 쉼표 (Fermata) [Kihno]","2018","7","n","","",  ""
"11398678","","H&amp;D","","","Soulmate","2020","2","n","","",  ""
"11307333","","HYNN","","","아무렇지 않게, 안녕","2020","4","n","","",  ""
"6486731","","Instant Karma","","","Lost Album","1998","10","n","","",  ""
"10393862","","IZ*ONE","","","Buenos Aires","2019","4","n","","",  ""
"9664341","","IZ*ONE","","","Color*IZ","2018","4","n","","",  ""
"10679889","","IZ*ONE","","","Vampire","2019","3","n","","",  ""
"9736529","","Jclef","","","Flaw, Flaw","2018","8","n","","",  ""
"11423343","","Jockstrap","","","Wicked City","2020","9","n","","",  ""
"12347360","","JPEGMAFIA","","","EP2!","2021","5","n","","",  ""
"11088502","","KARD","","","Red Moon","2020","5","n","","",  ""
"151116","Kahimi","Karie","","","Trapéziste","2003","9","n","","",  ""
"11405884","","Kid Milli","","","BEIGE 0.5","2020","2","n","","",  ""
"10736878","Lim","Kim","","","Generasian","2019","8","n","","",  ""
"12898636","","KOTO","","","Back to the Universe","2021","7","n","","",  ""
"12275533","","KOTO","","","琴虎飯店 EP (Kototora hanten EP)","2020","8","n","","",  ""
"7881018","The","Koxx","","","The New Normal","2015","7","n","","",  ""
"9560116","","Life &amp; Time","","","Age","2018","7","n","","",  ""
"10539651","","MAMAMOO","","","4colors","2019","4","n","","",  ""
"9440296","","Marmello","","","Can't Stop","2017","3","n","","",  ""
"10156346","","Maywish","","","Hello","2018","6","n","","",  ""
"10509471","","Maywish","","","스르르 (Srr)","2019","3","n","","",  ""
"9379788","","Melody Day","","","겁나","2014","3","n","","",  ""
"9375448","","Melody Day","","","잠은 안 오고","2018","7","n","","",  ""
"7528739","","Melody Day","","","Color","2016","4","n","","",  ""
"8083969","","Melody Day","","","Kiss on the Lips","2017","5","n","","",  ""
"8765553","","Melody Day","","","Speed Up","2015","6","n","","",  ""
"10748902","","Method","","","Definition of Method","2019","8","n","","",  ""
"11520602","","Miso","","","Alone","2020","9","n","","",  ""
"12407197","","Miso","","","Metanoia","2020","9","n","","",  ""
"13063971","","Miso","","","Slow Running","2021","6","n","","",  ""
"10909646","","Miso","","","Take Me","2016","9","n","","",  ""
"13030454","","moi","","","쿵 (Kuuung)","2021","9","n","","",  ""
"10149705","","moi","","","合","2019","8","n","","",  ""
"10284481","","씨잼 [C Jamm]","","","킁","2019","6","n","","",  ""
"9320518","","윤채경 [Yoon Chaekyung] &amp; 채원 [Chaewon]","","","시계","2016","7","n","","",  ""
"11248898","","세정 [Sejeong]","","","화분","2020","2","n","","",  ""
"10983553","","그림자 공동체 [Shadow Community]","","","동요 / 할시온의 관","2019","10","n","","",  ""
"9466294","","Nature","","","기분 좋아","2018","7","n","","",  ""
"7489095","","Sonamoo","","","넘나 좋은 것","2016","6","n","","",  ""
"9573624","","UNI.T","","","끝을 아는 시작","2018","3","n","","",  ""
"11423428","","폴킴 [Paul Kim]","","","마음, 둘","","3","n","","",  ""
"11127867","","새소년 [SE SO NEON]","","","비적응","2020","8","n","","",  ""
"11231380","","수호 [Suho]","","","자화상","2020","3","n","","",  ""
"13051228","","SUMIN+Zion.T","","","크림빵","2021","7","n","","",  ""
"9446397","","그림자 공동체 [Shadow Community]","","","거울의 숲","2016","8","n","","",  ""
"8434102","","아이비아이 [I.B.I]","","","몰래몰래","2016","7","n","","",  ""
"10946504","","천용성 [Yongsung Chun]","","","김일성이 죽던 해","2019","6","n","","",  ""
"9408030","","JPEGMAFIA","","","1539 N. Calvert","2018","10","n","","",  ""
"11341491","","Ha:tfelt","","","1719","2020","6","n","","",  ""
"3983844","","무키무키만만수 [Mukimukimanmansu]","","","2012","2012","10","n","","",  ""
"13002335","","KOTO &amp; レコライド [Recoride]","","","スーパールーパー33","2021","7","n","","",  ""
"10340436","","Red Velvet","","","'The ReVe Festival' Day 1","2019","10","n","","",  ""
"10546118","","Red Velvet","","","'The ReVe Festival' Day 2","2019","6","n","","",  ""
"6845462","","f(x)","","","4 Walls","2015","8","n","","",  ""
"11137931","","AB6IX","","","5nally","2020","3","n","","",  ""
"11984445","","Everglow","","","-77.82X-78.29","2020","8","n","","",  ""
"6947372","","라붐 [LABOUM]","","","Aalow Aalow","2015","6","n","","",  ""
"8915530","","Gu9udan","","","Act. 04 Cait Sith","2018","5","n","","",  ""
"7576242","","Gu9udan","","","Act. 1 The Little Mermaid","2016","4","n","","",  ""
"8086719","","Gu9udan","","","Act. 2 Narcissus","2017","7","n","","",  ""
"8690387","","Gu9udan","","","Act. 3 Chococo Factory","2017","6","n","","",  ""
"9685355","","Gu9udan","","","Act. 5 New Action","2018","7","n","","",  ""
"6385719","","EXID","","","Ah Yeah","2015","5","n","","",  ""
"9131275","","Good Day","","","All Day Good Day","2017","7","n","","",  ""
"11054562","","Sechs Kies","","","All for You","2020","3","n","","",  ""
"10596352","","JPEGMAFIA","","","All My Heroes Are Cornballs","2019","9","n","","",  ""
"11831399","","Cherry Bullet","","","아로하오에 (Aloha oe)","2020","6","n","","",  ""
"9759246","","Nature","","","썸&amp;러브 (Some&amp;Love)","2018","7","n","","",  ""
"10175901","","Psychedelic Porn Crumpets","","","And Now for the Whatchamacallit","2019","8","n","","",  ""
"11032757","","지코 [Zico]","","","아무노래 (Any Song)","2020","8","n","","",  ""
"10808643","","Rosalía","","","A palé","2019","8","n","","",  ""
"10097216","","Everglow","","","Arrival of Everglow","2019","6","n","","",  ""
"10802510","","우주소녀 [WJSN]","","","As You Wish","2019","8","n","","",  ""
"12895119","","SHINee","","","Atlantis","2021","7","n","","",  ""
"8791474","","JPEGMAFIA","","","Baby I'm Bleeding","2017","9","n","","",  ""
"12795345","","백현 [Baekhyun]","","","Bambi","2021","6","n","","",  ""
"9274956","","이달의 소녀 yyxy [LOONA yyxy]","","","beauty&amp;thebeat","2018","6","n","","",  ""
"12223080","","BoA","","","Better","2020","7","n","","",  ""
"9423370","","라붐 [LABOUM]","","","Between Us","2018","6","n","","",  ""
"9111961","","허니팝콘 [Honey Popcorn]","","","Bibidi Babidi Boo","2018","4","n","","",  ""
"8972393","","CLC","","","Black Dress","2018","6","n","","",  ""
"11781595","","EXID","","","B.L.E.S.S.E.D","2020","6","n","","",  ""
"9380528","","청하 [Chung Ha]","","","Blooming Blue","2018","3","n","","",  ""
"11097935","","IZ*ONE","","","Bloom*IZ","2020","5","n","","",  ""
"11802250","","Rocket Punch","","","Blue Punch","2020","6","n","","",  ""
"9721068","","MAMAMOO","","","Blue;s","2018","4","n","","",  ""
"11948265","","유아 [YooA]","","","Bon voyage","2020","3","n","","",  ""
"12916822","","ENHYPEN","","","Border : Carnival","2021","5","n","","",  ""
"12245537","","ENHYPEN","","","Border : Day One","2020","5","n","","",  ""
"10161035","","TWICE","","","Breakthrough","2019","9","n","","",  ""
"10172195","","Bvndit","","","Bvndit, Be Ambitious!","2019","6","n","","",  ""
"9626128","","KOTO","","","ばいばいてぃーんずららばい (Bye Bye Teens Lullaby)","2018","9","n","","",  ""
"3505201","","Secret","","","별빛달빛 (Byeolbit Dalbit)","2011","2","n","","",  ""
"11453289","","Bvndit","","","Carnival","2020","6","n","","",  ""
"8860039","","선우정아 [Sunwoo Jung-a]","","","Cat","2017","8","n","","",  ""
"4578738","","Candy Claws","","","Ceres &amp; Calypso in the Deep Time","2013","9","n","","",  ""
"6822668","","IU","","","Chat-Shire","2015","8","n","","",  ""
"12493162","","Cherry Bullet","","","Cherry Rush","2021","7","n","","",  ""
"11331053","","최강창민 [Max Changmin]","","","Chocolate","2020","3","n","","",  ""
"8463859","","이달의 소녀 [LOONA] / Choerry","","","Choerry","2017","10","n","","",  ""
"7372658","","I.O.I","","","Chrysalis","2016","4","n","","",  ""
"8847491","","이달의 소녀 [LOONA] / Chuu","","","Chuu","2017","9","n","","",  ""
"10410749","","백현 [Baekhyun]","","","City Lights","2019","5","n","","",  ""
"10691657","","Kero Kero Bonito","","","Civilisation I","2019","9","n","","",  ""
"12722773","","Kero Kero Bonito","","","Civilisation II","2021","8","n","","",  ""
"8583412","","엘리스 [Elris]","","","Color Crush","2017","6","n","","",  ""
"11160202","","Victon","","","Continuous","2020","3","n","","",  ""
"9441326","","공중도둑 [Mid-Air Thief]","","","무너지기 (Crumbling)","2018","10","n","","",  ""
"10449342","","Purplebeck","","","Crystal Ball","2019","7","n","","",  ""
"7963600","","CLC","","","Crystyle","2017","6","n","","",  ""
"6685080","","Sonamoo","","","Cushion","2015","7","n","","",  ""
"11282942","","강다니엘 [Kang Daniel]","","","Cyan","2020","3","n","","",  ""
"11344561","","April","","","Da capo","2020","8","n","","",  ""
"11088489","","문별 [Moonbyul]","","","Dark Side of the Moon","2020","4","n","","",  ""
"12035846","","XUM","","","Ddalala","2020","5","n","","",  ""
"12545723","","IZ*ONE","","","D-D-Dance","2021","9","n","","",  ""
"12608495","","SHINee","","","Don't Call Me","2021","7","n","","",  ""
"10274444","","Bvndit","","","드라마틱 (Dramatic)","2019","5","n","","",  ""
"4423912","","SHINee","","","Dream Girl - The Misconceptions of You","2013","7","n","","",  ""
"9797067","","DreamNote","","","Dreamlike","2018","4","n","","",  ""
"10704613","","Purplebeck","","","Dream Line","2019","6","n","","",  ""
"10065057","","DreamNote","","","Dream:us","2019","5","n","","",  ""
"8966771","","우주소녀 [WJSN]","","","Dream Your Dream","2018","7","n","","",  ""
"5144150","","After School","","","Dress to Kill","2014","9","n","","",  ""
"11774590","","(G)I-DLE","","","DUMDi DUMDi","2020","6","n","","",  ""
"11372350","","GOT7","","","Dye","2020","4","n","","",  ""
"11100406","","Dreamcatcher","","","Dystopia: The Tree of Language","2020","6","n","","",  ""
"11194146","","라비 [Ravi]","","","El Dorado","2020","1","n","","",  ""
"4042379","","f(x)","","","Electric Shock","2012","7","n","","",  ""
"12226487","","JPEGMAFIA","","","EP!","2020","7","n","","",  ""
"11449481","","우아 [woo!ah!]","","","Exclamation","2020","7","n","","",  ""
"3455169","","Death Grips","","","Exmilitary","2011","9","n","","",  ""
"10993890","","VERIVERY","","","Face Me","2020","4","n","","",  ""
"10499934","","태민 [Taemin]","","","Famous","2019","8","n","","",  ""
"12101576","","Monsta X","","","Fatal Love","2020","4","n","","",  ""
"12867501","","BTS","","","Film Out","2021","3","n","","",  ""
"11009684","","SF9","","","First Collection","2020","4","n","","",  ""
"10358371","","청하 [Chung Ha]","","","Flourishing","2019","5","n","","",  ""
"10008593","","Saturday","","","Follow Saturday","2019","4","n","","",  ""
"12595982","","aespa","","","Forever (약속)","2021","2","n","","",  ""
"10290681","","우주소녀 [WJSN]","","","For the Summer","2019","9","n","","",  ""
"7434808","","루나 [Luna]","","","Free Somebody","2016","7","n","","",  ""
"7267694","","라붐 [LABOUM]","","","Fresh Adventure","2016","4","n","","",  ""
"7946559","","우주소녀 [WJSN]","","","From. 우주소녀","2017","4","n","","",  ""
"9638292","","프로미스나인 [fromis_9]","","","From.9","2018","8","n","","",  ""
"5227954","","선미 [Sunmi]","","","Full Moon","2014","5","n","","",  ""
"10303747","","프로미스나인 [fromis_9]","","","Fun Factory","2019","6","n","","",  ""
"11453231","","ASTRO","","","Gateway","2020","3","n","","",  ""
"12274091","","Bling Bling","","","G.G.B","2020","9","n","","",  ""
"5049409","","Secret","","","Gift From Secret","2013","5","n","","",  ""
"10524468","","かめりあ feat. ななひら","","","ごーいん！ (Go-In!)","2019","9","n","","",  ""
"6394417","","공중도덕","","","공중도덕 (Gongjoong Doduk)","2015","10","n","","",  ""
"12124541","","Blackswan","","","Goodbye Rania","2020","4","n","","",  ""
"12182915","","SECRET NUMBER","","","Got That Boom","2020","6","n","","",  ""
"8940066","","이달의 소녀 [LOONA] / Go Won","","","Go Won","2018","9","n","","",  ""
"249585","","Beck","","","Guero","2005","9","n","","",  ""
"12851287","","ITZY","","","Guess Who","2021","8","n","","",  ""
"8353577","","청하 [Chung Ha]","","","Hands on Me","2017","5","n","","",  ""
"8505396","","Sonamoo","","","Happy Box Part.1","2017","9","n","","",  ""
"8718484","","Sonamoo","","","Happy Box Part.2","2017","9","n","","",  ""
"8083907","","이달의 소녀 [LOONA] / HaSeul","","","HaSeul","2016","8","n","","",  ""
"10112706","","IZ*ONE","","","Heart*IZ","2019","4","n","","",  ""
"8083881","","이달의 소녀 [LOONA] / HeeJin","","","HeeJin","2016","8","n","","",  ""
"5668709","","MAMAMOO","","","Hello","2014","7","n","","",  ""
"11581156","","위키미키 [Weki Meki]","","","Hide and Seek","2020","7","n","","",  ""
"11365388","","CRAVITY","","","Hideout: Remember Who We Are - Season1.","2020","4","n","","",  ""
"9789868","","Cherry On Top","","","Hi Five","2018","7","n","","",  ""
"7485230","","Brave Girls","","","High Heels","2016","4","n","","",  ""
"4234730","","EXID","","","Hippity Hop","2012","3","n","","",  ""
"12051555","","우주소녀 쪼꼬미 [WJSN Chocome]","","","흥칫뿡 (Hmph!)","2020","7","n","","",  ""
"11524178","","Crush","","","Homemade 1","2020","8","n","","",  ""
"5668430","","BESTie","","","Hot Baby","2014","5","n","","",  ""
"10569054","","Everglow","","","Hush","2019","6","n","","",  ""
"8083894","","이달의 소녀 [LOONA] / HyunJin","","","HyunJin","2016","10","n","","",  ""
"10435639","","Nature","","","I'm So Pretty","2019","8","n","","",  ""
"9776490","","라붐 [LABOUM]","","","I'm Yours","2018","3","n","","",  ""
"9212663","","(G)I-DLE","","","I Am","2018","5","n","","",  ""
"12450596","","(G)I-DLE","","","I Burn","2021","5","n","","",  ""
"8900879","","오구오구 [Oguogu]","","","Ice Chu","2017","7","n","","",  ""
"6301651","","Red Velvet","","","Ice Cream Cake","2015","9","n","","",  ""
"11057408","","iKON","","","i DECIDE","2020","4","n","","",  ""
"11463388","","볼빨간 사춘기 [Bolbbalgan4]","","","사춘기집II 꽃 본 나비","2020","5","n","","",  ""
"10000669","","(G)I-DLE","","","I Made","2019","8","n","","",  ""
"12850336","","OnlyOneOf","","","Instinct Part. 1","2021","8","n","","",  ""
"12756494","","퍼플키스 [Purple Kiss]","","","Into Violet","2021","5","n","","",  ""
"11194776","","DPR Live","","","Is Anybody Out There?","2020","7","n","","",  ""
"11834272","","Red Velvet - Irene &amp; Seulgi","","","iScreaM Vol.3 : 놀이 (Naughty) (Remix)","2020","8","n","","",  ""
"12876224","","SHINee","","","iScreaM Vol.7 : Don't Call Me Remixes","2021","5","n","","",  ""
"13030905","","Hot Issue","","","Issue Maker","2021","6","n","","",  ""
"9944952","","ITZY","","","It'z Different","2019","9","n","","",  ""
"10455484","","ITZY","","","It'z Icy","2019","7","n","","",  ""
"11152031","","ITZY","","","It'z Me","2020","4","n","","",  ""
"11139119","","엘리스 [Elris]","","","Jackpot","2020","7","n","","",  ""
"12988047","","엘리스 [Elris]","","","Jackpot (Japanese Version)","2021","8","n","","",  ""
"12135632","","JBJ95","","","Jasmin","2020","4","n","","",  ""
"8390174","","이달의 소녀 [LOONA] / JinSoul","","","JinSoul","2017","8","n","","",  ""
"8145512","","KOTO","","","JK卒業PACK","2017","6","n","","",  ""
"11065731","","Rosalía","","","Juro que","2020","8","n","","",  ""
"11433559","","비비 [BIBI]","","","사장님 도박은 재미로 하셔야 합니다 (Kazino)","2020","8","n","","",  ""
"12719168","","미래소년 [Mirae]","","","Killa","2021","6","n","","",  ""
"8309290","","이달의 소녀 [LOONA] / Kim Lip","","","Kim Lip","2017","8","n","","",  ""
"9583190","","위키미키 [Weki Meki]","","","Kiss, Kicks","2018","6","n","","",  ""
"12997524","","(G)I-DLE","","","Last Dance","2021","6","n","","",  ""
"11282401","","옹성우 [Ong Seong Woo]","","","Layers","2020","3","n","","",  ""
"12505256","","Pink Fantasy","","","레몬사탕 (Lemon Candy)","2021","9","n","","",  ""
"9896672","","Cherry Bullet","","","Let's Play Cherry Bullet","2019","7","n","","",  ""
"4546620","","Secret","","","Letter From Secret","2013","3","n","","",  ""
"11227010","","Favorite","","","또 Lie","2020","4","n","","",  ""
"5631188","","Jazzyfact","","","Lifes Like","2010","8","n","","",  ""
"9286444","","Pristin V","","","Like a V","2018","5","n","","",  ""
"12859590","","Wendy","","","Like Water","2021","5","n","","",  ""
"12761804","","IU","","","Lilac","2021","4","n","","",  ""
"9272593","","UNI.T","","","Line","2018","4","n","","",  ""
"11996136","","Cignature","","","Listen and Speak","2020","7","n","","",  ""
"11398775","","IMFACT","","","L.L","2020","3","n","","",  ""
"9914677","","Favorite","","","Loca","2019","5","n","","",  ""
"11308493","","Apink","","","Look","2020","4","n","","",  ""
"12967208","","Cheeze","","","Loser","2021","8","n","","",  ""
"10264511","","Cherry Bullet","","","Love Adventure","2019","6","n","","",  ""
"5015379","","소녀시대 [Girls' Generation]","","","Love &amp; Peace","2013","3","n","","",  ""
"6426171","","BESTie","","","Love Emotion","2015","5","n","","",  ""
"9277290","","Favorite","","","Love Loves to Love Love","2018","9","n","","",  ""
"9379777","","Melody Day","","","#LoveMe","2015","7","n","","",  ""
"4928802","","BESTie","","","연애의 조건 (Love Options)","2013","5","n","","",  ""
"7608268","","라붐 [LABOUM]","","","Love Sign","2016","6","n","","",  ""
"3015204","","SHINee","","","Lucifer","2010","5","n","","",  ""
"8972392","","위키미키 [Weki Meki]","","","Lucky","2018","8","n","","",  ""
"6436008","","프라이머리 [Primary] &amp; 오혁 [Hyukk Oh]","","","Lucky You!","2015","8","n","","",  ""
"8683644","","이달의 소녀 오드아이써클 [LOONA ODD EYE CIRCLE]","","","Max &amp; Match","2017","10","n","","",  ""
"7127215","","MAMAMOO","","","Melting","2016","7","n","","",  ""
"7784746","","MAMAMOO","","","Memory","2016","6","n","","",  ""
"7754941","","I.O.I","","","Miss Me?","2016","5","n","","",  ""
"8198903","","라붐 [LABOUM]","","","Miss This Kiss","2017","4","n","","",  ""
"5356682","","IU","","","Modern Times - Epilogue","2013","8","n","","",  ""
"5887949","","하우스룰즈 [House Rulez]","","","Mojito","2007","8","n","","",  ""
"11553315","","Red Velvet - Irene &amp; Seulgi","","","Monster","2020","9","n","","",  ""
"12790470","","Lil Nas X","","","Montero (Call Me by Your Name)","2021","8","n","","",  ""
"12802978","","DPR Ian","","","Moodswings in This Order","2021","7","n","","",  ""
"12176246","","K/DA","","","More","2020","9","n","","",  ""
"3698004","","Secret","","","Moving in Secret","2011","5","n","","",  ""
"8413429","","Favorite","","","My Favorite","2017","5","n","","",  ""
"11963708","","프로미스나인 [fromis_9]","","","My Little Society","2020","6","n","","",  ""
"11636186","","Nature","","","Nature World: Code M","2020","5","n","","",  ""
"11787998","","Red Velvet - Irene &amp; Seulgi","","","Naughty","2020","9","n","","",  ""
"11076960","","NCT 127","","","NCT #127 Neo Zone","2020","5","n","","",  ""
"11815100","","태민 [Taemin]","","","Never Gonna Dance Again : Act 2","2020","4","n","","",  ""
"11484272","","우주소녀 [WJSN]","","","Neverland","2020","9","n","","",  ""
"12051731","","위키미키 [Weki Meki]","","","New Rules","2020","7","n","","",  ""
"10784778","","Hinapia","","","New Start","2019","8","n","","",  ""
"11470771","","Natty","","","Nineteen","2020","5","n","","",  ""
"9915207","","CLC","","","No.1","2019","4","n","","",  ""
"12493924","","U-KNOW","","","Noir","2021","4","n","","",  ""
